Item Number,Level 1,Level 2,Level 3,Level 4,Level 5,Description Line 1_x,Brand Name,Pack Size,Unit of Measure_x,Priced by Weight,Description Line 2,Description Line 3,Class Name,Special Order,Item Image,On Hand Quantity_x,Item Avg. Weight,Due Date,Unit of Measure_y,Description Line 1_y,On Hand Quantity_y,Quantity Ordered,Open Balance,Expected Date
72126,286.9,282.85,278.9,267.75,257.45,Chocolate Ivoire (Feves),Valrhona,3/3kg,CASE,N,4660,,CHOC COUVERTURE,N,,7,0.0,/  /,CASE,Chocolate Ivoire (Feves),7,5.0,5.0,07/31/23
72128,307.0,302.7,298.5,286.55,275.55,Caramelia Crunchy Pearls,Valrhona,3/3kg,CASE,N,8425,,CHOCOLATE DECOR,N,,1,0.0,/  /,CASE,Caramelia Crunchy Pearls,1,2.0,2.0,07/31/23
72129,316.1,311.65,307.3,295.0,283.65,Dulcey Blond Chocolate (Feves),Valrhona,3/3kg,CASE,N,31870,,CHOC COUVERTURE,N,,11,0.0,/  /,CASE,Dulcey Blond Chocolate (Feves),11,6.0,6.0,07/31/23
72130,306.6,302.25,298.05,286.15,275.15,Opalys White (Feves),Valrhona,3/3kg,CASE,N,8118,,CHOC COUVERTURE,N,,10,0.0,/  /,CASE,Opalys White (Feves),10,15.0,15.0,07/31/23
72132,267.3,263.55,259.9,249.5,239.9,Bahibï¿½ Milk 46% Feves,Valrhona,3/3kg,CASE,N,9997,,CHOC COUVERTURE,N,,3,0.0,/  /,CASE,Bahibé Milk 46% Feves,3,3.0,3.0,07/31/23
72141,439.75,433.55,427.5,410.4,324.0,Valrhona Cocoa Powder-Bulk**,Valrhona,25kg,BAG,N,,,CHOC POWDERS,N,,0,0.0,/  /,BAG,Valrhona Cocoa Powder-Bulk**,0,1.0,1.0,07/31/23
72505,123.9,132.75,130.9,123.9,109.35,Instant Yeast RED,Saf-Instant,20/1lb,CASE,N,,,PASTRY INGRDNTS,N,,5,0.0,/  /,CASE,Instant Yeast RED,5,3.0,3.0,07/27/23
72506,124.5,133.4,131.5,124.5,109.85,Instant Yeast GOLD,Saf-Instant,20/1lb,CASE,N,,,PASTRY INGRDNTS,N,,1,0.0,/  /,CASE,Instant Yeast GOLD,1,6.0,6.0,07/27/23
72605,179.95,177.45,174.95,167.95,161.5,Chocolate Chips 60%-4000ct,Valrhona,2/10lb,CASE,N,12140,,CHOCOLATE CHIPS,N,,25,0.0,/  /,CASE,Chocolate Chips 60%-4000ct,25,5.0,5.0,07/31/23
72606,322.85,318.3,313.85,301.3,289.75,Azï¿½lia-Milk Choc w/ Hazelnuts-35%,Valrhona,3/3kg,CASE,N,11603,,CHOC COUVERTURE,N,,0,0.0,/  /,CASE,Azélia-Milk Choc w/ Hazelnuts-35%,0,1.0,1.0,07/31/23
72608,213.05,210.05,207.1,198.85,191.2,Equatoriale Dark 55%,Valrhona,3/3kg,CASE,N,4661,,CHOC COUVERTURE,N,,9,0.0,/  /,CASE,Equatoriale Dark 55%,9,4.0,4.0,07/31/23
72614,186.95,184.3,181.75,174.5,153.95,Broadmoor Blend 66% Feves,Valrhona,3/3kg,CASE,N,,,CHOC COUVERTURE,Y,,2,0.0,/  /,CASE,Broadmoor Blend 66% Feves,2,20.0,20.0,07/31/23
72617,410.85,410.85,405.05,383.45,338.35,Inspiration Strawberry Feves,Valrhona,3/3kg,CASE,N,15391,,CHOC COUVERTURE,N,,6,0.0,/  /,CASE,Inspiration Strawberry Feves,6,3.0,3.0,07/31/23
72627,533.3,526.25,519.45,533.3,470.55,Inspiration Yuzu Feves,Valrhona,3/3kg,CASE,N,19998,,CHOC COUVERTURE,N,,0,0.0,/  /,CASE,Inspiration Yuzu Feves,0,3.0,3.0,07/31/23
72628,417.0,411.15,405.45,389.2,343.4,Inspiration Raspberry Feves,Valrhona,3/3kg,CASE,N,19999,,CHOC COUVERTURE,N,,6,0.0,/  /,CASE,Inspiration Raspberry Feves,6,3.0,3.0,07/31/23
74003,393.35,376.7,371.5,356.6,297.2,Cocoa Powder-Carbon Black 10-12%,deZaan,20/1kg,CASE,N,,,CHOC POWDERS,N,,3,0.0,/  /,CASE,Cocoa Powder-Carbon Black 10-12%,1,2.0,2.0,07/25/23
