"Item Number","Level 1","Level 2","Level 3","Level 4","Level 5","Description Line 1","Brand Name","Pack Size","Unit of Measure","Priced by Weight","Description Line 2","Description Line 3","Class Name","Special Order","Item Image","On Hand Quantity","Item Avg. Weight","Due Date"
"88631",43.25,42.65,42.05,40.35,35.60,"Chili Lime Sorbet 1.5gal","Sweet Action","1.5gal","TUB","N","","","ICE CREAM","N",,1,0.00,"/  /"
"88632",48.95,48.25,47.60,45.70,40.30,"Vegan Vanilla Ice Cream 1.5gal*","Sweet Action","1.5gal","TUB","N","","","ICE CREAM","Y",,0,0.00,"/  /"
"88633",47.50,46.85,46.20,44.35,39.15,"Vegan Chocolate Ice Cream 1.5gal*","Sweet Action","1.5gal","TUB","N","","","ICE CREAM","Y",,0,0.00,"/  /"
"88634",47.15,46.50,45.85,44.00,38.85,"Vegan Strawberry Ice Cream 1.5gal*","Sweet Action","1.5gal","TUB","N","","","ICE CREAM","Y",,-3,0.00,"/  /"
"88636",45.75,45.10,44.45,42.70,37.65,"Strawberry Ice Cream 1.5gal*","Sweet Action","1.5gal","CASE","N","","","ICE CREAM","Y",,0,0.00,"/  /"
"88637",47.50,46.85,46.20,44.35,39.15,"Dulce De Leche 1.5gal","Sweet Action","1.5gal","TUB","N","","","ICE CREAM","N",,5,0.00,"/  /"
"88888",128.60,124.95,123.25,118.30,104.40,"Croissant P&B Large","Delifrance","165/2.5oz","CASE","N","18615","","CROISS & DANISH","N",,3,0.00,"/  /"
"88989",3.30,3.25,3.20,3.20,3.20,"Quinoa White Organic 10lb","Potenza","10lb","CASE","Y","","","GRAINS","N",,3,10.00,"/  /"
"89000",144.65,144.65,140.65,135.00,112.27,"Dark Choc Ecuador (Baking Choc)-56%","RDC","4/2.5kg","CASE","N","56% - 18830","","CHOC COUVERTURE","N",,1,0.00,"/  /"
"89000P",37.25,36.20,35.20,33.75,28.39,"Dark Choc Ecuador (Baking Choc)-56%","RDC","2.5kg","BAG","N","56% - 18830","","CHOC COUVERTURE","N",,0,0.00,"/  /"
"89001",221.05,217.95,214.90,206.30,182.05,"Dark Chocolate-DR 62%","RDC","4/2.5kg","CASE","N","27050","","CHOC COUVERTURE","N",,2,0.00,"/  /"
"89001P",56.90,54.50,53.75,51.60,45.55,"Dark Chocolate-DR 62%*","RDC","2.5kg","BAG","N","220101","","CHOC COUVERTURE","Y",,-1,0.00,"/  /"
"89002",238.30,234.95,231.65,222.40,185.26,"Dark Chocolate-Ecuador 65%","RDC","2/16.5lbs","CASE","N","18929","","CHOC COUVERTURE","N",,9,0.00,"/  /"
"89003",188.25,185.60,183.00,175.70,153.57,"Cocoa Butter Shavings 1.5kg","RDC","4/1.5kg","CASE","N","18844","","CHOC COMPOUNDS","N",,4,0.00,"/  /"
"89003P",48.45,46.40,45.75,43.95,38.39,"Cocoa Butter Shavings 1.5kg","RDC","1.5kg","PC.","N","18844","","CHOC COMPOUNDS","N",,1,0.00,"/  /"
"89004",212.90,209.90,207.00,198.70,170.84,"Caramelized Milk Choc-Ecuador 40%*","RDC","4/2.5kg","CASE","N","18844","","CHOC COUVERTURE","Y",,0,0.00,"/  /"
"89004C",161.48,196.00,193.30,185.55,296.40,"Coda Milk Choc-Ecuador 40%*","RDC","4/2.5kg","CASE","N","200001","","CHOC COUVERTURE","N",,0,0.00,"/  /"
"89005",216.80,213.75,210.75,202.35,178.55,"Milk Chocolate Peru 38%","RDC","4/2.5kg","CASE","N","18859","","CHOC COUVERTURE","N",,6,0.00,"/  /"
"89005P",54.20,54.20,52.70,50.60,44.65,"Milk Chocolate Peru 38%","RDC","2.5kg","BAG","N","18859","","CHOC COUVERTURE","N",,2,0.00,"/  /"
"89007",308.80,304.45,300.25,288.20,226.93,"Dark Chocolate Growers Choice 71%","RDC","2/16.5lb","CASE","N","18932","","CHOC COUVERTURE","N",,2,0.00,"/  /"
"89008",219.75,219.75,213.65,205.10,192.30,"Dark Choc Ecuador (Enrobing)-55%","RDC","33lb","CASE","N","18830","","CHOC COUVERTURE","N",,4,0.00,"/  /"
"89009",160.45,169.50,167.15,160.45,141.60,"Cocoa Powder 22-24%","RDC","4/2.5kg","CASE","N","210101","","CHOC POWDERS","N",,1,0.00,"/  /"
"89009P",40.15,42.40,41.80,40.15,35.40,"Cocoa Powder 22-24%","RDC","2.5kg","BAG","N","210101","","CHOC POWDERS","N",,0,0.00,"/  /"
"89010",165.55,163.20,160.95,154.50,126.65,"Dark Choc Ecuador/Dominican 70%","RDC","4/2.5kg","CASE","N","30033","","CHOC COUVERTURE","N",,12,0.00,"/  /"
"89010P",42.60,41.40,40.25,38.65,34.10,"Dark Choc Ecuador/Dominican 70%","RDC","2.5kg","BAG","N","30033","","CHOC COUVERTURE","N",,0,0.00,"/  /"
"89011",242.50,239.10,235.75,226.35,280.94,"100% Pure DR Fine Liquor","RDC","4/2.5kg","CASE","N","18933","","CHOC COUVERTURE","N",,0,0.00,"/  /"
"89011P",62.45,59.80,58.95,56.60,70.23,"100% Pure DR Fine Liquor","RDC","2.5kg","PC.","N","18933","","CHOC COUVERTURE","N",,1,0.00,"/  /"
"89012",223.90,220.75,217.70,208.95,174.15,"White Choc Ecuador-31%","RDC","4/2.5kg","CASE","N","18843","","CHOC COUVERTURE","N",,16,0.00,"/  /"
"89012P",58.75,57.10,55.50,53.30,46.52,"White Choc Ecuador-31%","RDC","2.5kg","PC.","N","18843","","CHOC COUVERTURE","N",,4,0.00,"/  /"
"89013",218.50,215.45,212.45,203.95,163.73,"White Choc w/ Roasted Corn-33%","RDC","4/2.5kg","CASE","N","30033","","CHOC COUVERTURE","N",,1,0.00,"/  /"
"89013P",54.65,53.90,53.15,51.00,40.93,"White Choc w/ Roasted Corn-33%","RDC","2.5kg","PC.","N","30033","","CHOC COUVERTURE","N",,1,0.00,"/  /"
"89014",283.15,279.15,275.30,264.30,233.20,"Cocoa Nibs","RDC","12/1kg","CASE","N","20119","","CHOCOLATE DECOR","N",,0,0.00,"/  /"
"89014P",24.30,23.30,22.95,22.05,19.45,"Cocoa Nibs","RDC","1kg","PC.","N","20119","","CHOCOLATE DECOR","N",,4,0.00,"/  /"
"89126",51.80,51.10,50.35,48.35,42.65,"Passion Fruit Sorbet 1.5gal*","Sweet Action","1.5gal","CASE","N","","","ICE CREAM","Y",,0,0.00,"/  /"
"89154",86.10,84.90,83.70,80.35,70.90,"Thai Iced Tea Ice Cream 3gal*","Sweet Action","3gal","CASE","N","","","ICE CREAM","Y",,1,0.00,"/  /"
"9000",76.80,70.30,69.35,66.55,58.75,"Peanut Butter","Justin's","12/16oz","CASE","N","","","PRESERVES","N",,1,0.00,"/  /"
"90000",15.90,15.65,15.45,14.80,13.10,"Prosciutto Di San Daniele","Galloni","18lb","PC.","Y","","","MEAT ITALIAN","N",,1,18.00,"/  /"
"90001",6.60,6.50,6.40,6.15,5.40,"Capocollo Hot","Citterio","2/5lb","CASE","Y","Expire Date:","","MEAT ITALIAN","N",,14,13.50,"/  /"
"90001P",6.75,6.75,6.40,6.15,5.40,"Capocollo Hot 5lb","Citterio","5lb","PC.","Y","Expire Date:","","MEAT ITALIAN","N",,0,7.00,"/  /"
"90002",5.60,5.50,5.45,5.20,4.60,"Salami Genoa","Citterio","3/6.75#","CASE","Y","Expire Date:","","MEAT ITALIAN","N",,8,21.00,"/  /"
"90002P",5.75,5.60,5.45,5.20,4.60,"Salami Genoa 7lb","Citterio","7lb","PC.","Y","Expire Date:","","MEAT ITALIAN","N",,0,7.00,"/  /"
"90004",5.05,4.95,4.90,4.70,4.15,"Mortadella Pistachio","Citterio","4/6.5lb","CASE","Y","Expire Date:","","MEAT ITALIAN","N",,8,27.00,"/  /"
"90004P",5.20,5.05,4.90,4.70,4.15,"Mortadella Pistachio 6.5lb","Citterio","6.5lb","PC.","Y","Expire Date:","","MEAT ITALIAN","N",,2,7.00,"/  /"
"90009",8.65,8.55,8.45,8.10,7.15,"Pancetta","Citterio","3/8lb","CASE","Y","","","MEAT ITALIAN","N",,0,23.00,"/  /"
"90009P",8.65,8.55,8.45,8.10,7.15,"Pancetta 8lb","Citterio","8lb","PC.","Y","","","MEAT ITALIAN","N",,0,8.00,"/  /"
"90010",64.35,63.45,62.55,60.05,53.00,"Salami Genoa Chubs","Citterio","12/9oz","CASE","N","608","","MEAT ITALIAN","N",,5,0.00,"/  /"
"90010P",5.55,5.40,5.25,5.05,4.45,"Salami Genoa Chubs 9oz","Citterio","9oz","PC.","N","608","","MEAT ITALIAN","N",,11,0.00,"/  /"
"90014",69.80,68.85,67.90,65.15,57.50,"Sopressata Small Sweet","Citterio","12/9oz","CASE","N","(0)35032-32609","","MEAT ITALIAN","N",,3,0.00,"/  /"
"90014P",6.00,5.75,5.70,5.45,4.80,"Sopressata Small Sweet 9oz","Citterio","9oz","PC.","N","(0)35032-32609","","MEAT ITALIAN","N",,7,0.00,"/  /"
"90015",70.30,69.35,68.35,65.65,57.90,"Sopressata Small Hot","Citterio","12/9oz","CASE","N","(0)35032-32109","","MEAT ITALIAN","N",,8,0.00,"/  /"
